temp	t1	t2
25.4	1	1
25.4	1	1
25.4	1	1
25.4	1	1
25.4	1	1
25.4	1	1
25.4	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.3	1	1
25.3	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
26.9	1	1
25.3	1	-1
25.3	1	-1
25.3	1	1
25.3	1	1
25.3	1	1
25.3	1	1
38.7	-1	1
25.65	1	1
25.65	1	1
25.65	1	1
25.65	1	1
25.6	1	1
25.6	1	1
25.65	1	1
25.6	1	1
25.65	1	1
25.6	1	1
25.6	1	1
25.65	1	1
25.6	1	1
25.6	1	1
25.6	1	1
25.6	1	1
25.6	1	1
25.6	1	1
25.55	1	1
25.8	1	1
25.8	1	1
25.6	1	1
25.6	1	1
25.6	1	1
25.6	1	1
25.6	-1	1
25.65	1	1
25.65	1	1
25.7	1	1
25.7	1	1
25.7	1	1
25.7	1	1
25.7	1	1
25.7	1	1
25.7	1	1
25.7	1	1
25.7	1	1
50.35	1	-1
25.75	1	1
114.75	-1	-1
25.75	1	1
25.8	1	1
25.8	1	1
25.75	1	1
25.8	1	1
25.8	1	1
25.85	1	1
25.85	1	1
25.85	1	1
25.85	1	1
25.85	1	1
25.85	1	1
25.85	1	1
25.85	1	1
25.9	1	1
25.85	1	1
25.9	1	1
25.9	1	1
25.9	1	1
25.95	1	1
25.95	1	1
25.95	1	1
25.95	1	1
25.95	1	1
25.95	1	1
25.95	1	1
25.95	1	1
25.95	1	1
25.95	1	1
39.1	-1	1
26	1	1
26	1	1
39.1	-1	1
26	1	1
26	1	1
26.15	-1	1
26	1	1
26	1	1
26	1	1
26	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
26.05	1	1
